Country1,Country2,Footrule
CRI,NLD,80.0
CRI,NOR,150.0
CRI,NZL,100.0
CRI,PAN,138.0
CRI,PER,106.0
CRI,PHL,148.0
CRI,POL,80.0
CRI,PRT,112.0
CRI,QAT,188.0
CRI,QAZ,148.0
CRI,QCI,104.0
CRI,QMR,154.0
CRI,QRT,124.0
CRI,ROU,108.0
CRI,RUS,126.0
CRI,SAU,114.0
CRI,SGP,156.0
CRI,SRB,92.0
CRI,SVK,118.0
CRI,SVN,150.0
CRI,SWE,148.0
CRI,TAP,130.0
CRI,THA,174.0
CRI,TUR,104.0
CRI,UKR,104.0
CRI,URY,120.0
CRI,USA,136.0
CRI,VNM,142.0
CZE,DEU,106.0
CZE,DNK,96.0
CZE,DOM,128.0
CZE,ESP,176.0
CZE,EST,140.0
CZE,FIN,122.0
CZE,FRA,136.0
CZE,GBR,118.0
CZE,GEO,112.0
CZE,GRC,142.0
CZE,HKG,114.0
CZE,HRV,118.0
CZE,HUN,100.0
CZE,IDN,158.0
CZE,IRL,122.0
CZE,ISL,208.0
CZE,ITA,118.0
CZE,JOR,186.0
CZE,JPN,154.0
CZE,KAZ,136.0
CZE,KOR,210.0
CZE,KSV,166.0
CZE,LTU,138.0
CZE,LUX,102.0
CZE,LVA,158.0
CZE,MAC,170.0
CZE,MAR,100.0
CZE,MDA,102.0
CZE,MEX,130.0
CZE,MLT,162.0
CZE,MNE,138.0
CZE,MYS,154.0
CZE,NLD,102.0
CZE,NOR,132.0
CZE,NZL,84.0
CZE,PAN,100.0
CZE,PER,100.0
CZE,PHL,168.0
CZE,POL,76.0
CZE,PRT,168.0
CZE,QAT,146.0
CZE,QAZ,158.0
CZE,QCI,74.0
CZE,QMR,138.0
CZE,QRT,162.0
CZE,ROU,56.0
CZE,RUS,100.0
CZE,SAU,104.0
CZE,SGP,130.0
CZE,SRB,118.0
CZE,SVK,114.0
CZE,SVN,150.0
CZE,SWE,100.0
CZE,TAP,152.0
CZE,THA,170.0
CZE,TUR,174.0
CZE,UKR,92.0
CZE,URY,130.0
CZE,USA,166.0
CZE,VNM,188.0
DEU,DNK,134.0
DEU,DOM,110.0
DEU,ESP,102.0
DEU,EST,138.0
DEU,FIN,140.0
DEU,FRA,92.0
DEU,GBR,134.0
DEU,GEO,126.0
DEU,GRC,112.0
DEU,HKG,138.0
DEU,HRV,114.0
DEU,HUN,106.0
DEU,IDN,172.0
DEU,IRL,154.0
DEU,ISL,130.0
DEU,ITA,78.0
DEU,JOR,130.0
