Country1,Country2,Footrule
BIH,SVN,92.0
BIH,SWE,174.0
BIH,TAP,198.0
BIH,THA,122.0
BIH,TUR,120.0
BIH,UKR,92.0
BIH,URY,124.0
BIH,USA,168.0
BIH,VNM,188.0
BLR,BRA,150.0
BLR,BRN,144.0
BLR,CAN,218.0
BLR,CHE,154.0
BLR,CHL,154.0
BLR,COL,146.0
BLR,CRI,176.0
BLR,CZE,106.0
BLR,DEU,142.0
BLR,DNK,150.0
BLR,DOM,132.0
BLR,ESP,134.0
BLR,EST,116.0
BLR,FIN,192.0
BLR,FRA,168.0
BLR,GBR,190.0
BLR,GEO,126.0
BLR,GRC,168.0
BLR,HKG,150.0
BLR,HRV,106.0
BLR,HUN,108.0
BLR,IDN,128.0
BLR,IRL,184.0
BLR,ISL,186.0
BLR,ITA,154.0
BLR,JOR,188.0
BLR,JPN,210.0
BLR,KAZ,112.0
BLR,KOR,176.0
BLR,KSV,150.0
BLR,LTU,110.0
BLR,LUX,156.0
BLR,LVA,164.0
BLR,MAC,158.0
BLR,MAR,168.0
BLR,MDA,206.0
BLR,MEX,74.0
BLR,MLT,120.0
BLR,MNE,124.0
BLR,MYS,124.0
BLR,NLD,160.0
BLR,NOR,154.0
BLR,NZL,124.0
BLR,PAN,186.0
BLR,PER,178.0
BLR,PHL,128.0
BLR,POL,188.0
BLR,PRT,188.0
BLR,QAT,122.0
BLR,QAZ,114.0
BLR,QCI,190.0
BLR,QMR,174.0
BLR,QRT,82.0
BLR,ROU,116.0
BLR,RUS,144.0
BLR,SAU,220.0
BLR,SGP,214.0
BLR,SRB,122.0
BLR,SVK,128.0
BLR,SVN,144.0
BLR,SWE,114.0
BLR,TAP,120.0
BLR,THA,158.0
BLR,TUR,146.0
BLR,UKR,138.0
BLR,URY,220.0
BLR,USA,184.0
BLR,VNM,194.0
BRA,BRN,146.0
BRA,CAN,186.0
BRA,CHE,124.0
BRA,CHL,196.0
BRA,COL,130.0
BRA,CRI,150.0
BRA,CZE,188.0
BRA,DEU,124.0
BRA,DNK,140.0
BRA,DOM,92.0
BRA,ESP,130.0
BRA,EST,154.0
BRA,FIN,224.0
BRA,FRA,168.0
BRA,GBR,222.0
BRA,GEO,186.0
BRA,GRC,138.0
BRA,HKG,152.0
BRA,HRV,142.0
BRA,HUN,52.0
BRA,IDN,198.0
BRA,IRL,212.0
BRA,ISL,202.0
BRA,ITA,188.0
BRA,JOR,114.0
BRA,JPN,242.0
BRA,KAZ,98.0
BRA,KOR,142.0
BRA,KSV,122.0
BRA,LTU,86.0
BRA,LUX,130.0
BRA,LVA,230.0
BRA,MAC,194.0
BRA,MAR,158.0
BRA,MDA,160.0
BRA,MEX,120.0
BRA,MLT,184.0
BRA,MNE,188.0
BRA,MYS,160.0
BRA,NLD,168.0
BRA,NOR,188.0
BRA,NZL,122.0
BRA,PAN,118.0
BRA,PER,144.0
BRA,PHL,194.0
BRA,POL,156.0
BRA,PRT,132.0
BRA,QAT,186.0
BRA,QAZ,118.0
BRA,QCI,222.0
BRA,QMR,92.0
BRA,QRT,156.0
BRA,ROU,114.0
BRA,RUS,120.0
BRA,SAU,82.0
BRA,SGP,178.0
BRA,SRB,162.0
BRA,SVK,130.0
BRA,SVN,160.0
BRA,SWE,196.0
BRA,TAP,136.0
BRA,THA,164.0
BRA,TUR,128.0
BRA,UKR,120.0
BRA,URY,200.0
BRA,USA,224.0
BRA,VNM,228.0
BRN,CAN,230.0
BRN,CHE,96.0
BRN,CHL,116.0
BRN,COL,108.0
BRN,CRI,162.0
BRN,CZE,168.0
BRN,DEU,90.0
BRN,DNK,166.0
BRN,DOM,130.0
BRN,ESP,100.0
BRN,EST,172.0
BRN,FIN,204.0
BRN,FRA,96.0
BRN,GBR,242.0
BRN,GEO,180.0
BRN,GRC,138.0
BRN,HKG,270.0
BRN,HRV,110.0
BRN,HUN,110.0
BRN,IDN,204.0
BRN,IRL,196.0
BRN,ISL,128.0
BRN,ITA,136.0
BRN,JOR,168.0
BRN,JPN,312.0
BRN,KAZ,114.0
BRN,KOR,250.0
BRN,KSV,176.0
BRN,LTU,78.0
BRN,LUX,198.0
BRN,LVA,200.0
BRN,MAC,234.0
BRN,MAR,110.0
BRN,MDA,198.0
BRN,MEX,136.0
BRN,MLT,142.0
BRN,MNE,176.0
BRN,MYS,162.0
BRN,NLD,248.0
BRN,NOR,198.0
BRN,NZL,174.0
BRN,PAN,112.0
BRN,PER,138.0
BRN,PHL,168.0
BRN,POL,168.0
BRN,PRT,164.0
BRN,QAT,132.0
BRN,QAZ,82.0
BRN,QCI,246.0
BRN,QMR,178.0
BRN,QRT,100.0
BRN,ROU,206.0
BRN,RUS,144.0
BRN,SAU,178.0
BRN,SGP,224.0
BRN,SRB,170.0
BRN,SVK,64.0
BRN,SVN,168.0
BRN,SWE,168.0
BRN,TAP,204.0
BRN,THA,196.0
BRN,TUR,168.0
BRN,UKR,176.0
BRN,URY,170.0
BRN,USA,268.0
BRN,VNM,240.0
CAN,CHE,184.0
CAN,CHL,162.0
CAN,COL,192.0
CAN,CRI,218.0
CAN,CZE,194.0
CAN,DEU,192.0
CAN,DNK,182.0
CAN,DOM,196.0
CAN,ESP,164.0
CAN,EST,116.0
CAN,FIN,180.0
CAN,FRA,188.0
CAN,GBR,84.0
CAN,GEO,154.0
CAN,GRC,126.0
CAN,HKG,178.0
CAN,HRV,158.0
CAN,HUN,214.0
CAN,IDN,184.0
CAN,IRL,186.0
CAN,ISL,228.0
CAN,ITA,162.0
CAN,JOR,152.0
CAN,JPN,252.0
CAN,KAZ,148.0
CAN,KOR,216.0
CAN,KSV,116.0
CAN,LTU,194.0
CAN,LUX,116.0
CAN,LVA,156.0
CAN,MAC,214.0
CAN,MAR,180.0
CAN,MDA,226.0
CAN,MEX,220.0
CAN,MLT,154.0
CAN,MNE,154.0
CAN,MYS,184.0
CAN,NLD,166.0
CAN,NOR,210.0
CAN,NZL,156.0
CAN,PAN,208.0
CAN,PER,198.0
CAN,PHL,272.0
CAN,POL,188.0
CAN,PRT,260.0
CAN,QAT,182.0
CAN,QAZ,186.0
CAN,QCI,180.0
CAN,QMR,160.0
CAN,QRT,174.0
CAN,ROU,180.0
CAN,RUS,126.0
CAN,SAU,130.0
CAN,SGP,214.0
CAN,SRB,134.0
CAN,SVK,196.0
CAN,SVN,158.0
CAN,SWE,188.0
CAN,TAP,154.0
CAN,THA,124.0
CAN,TUR,174.0
CAN,UKR,156.0
CAN,URY,232.0
CAN,USA,88.0
CAN,VNM,186.0
CHE,CHL,150.0
CHE,COL,90.0
CHE,CRI,90.0
CHE,CZE,156.0
CHE,DEU,94.0
CHE,DNK,130.0
CHE,DOM,94.0
CHE,ESP,114.0
CHE,EST,122.0
CHE,FIN,234.0
CHE,FRA,124.0
CHE,GBR,164.0
CHE,GEO,158.0
CHE,GRC,108.0
CHE,HKG,190.0
CHE,HRV,130.0
CHE,HUN,152.0
CHE,IDN,162.0
CHE,IRL,198.0
CHE,ISL,118.0
CHE,ITA,164.0
CHE,JOR,122.0
CHE,JPN,254.0
CHE,KAZ,90.0
CHE,KOR,194.0
CHE,KSV,118.0
CHE,LTU,96.0
CHE,LUX,154.0
CHE,LVA,192.0
CHE,MAC,228.0
CHE,MAR,98.0
CHE,MDA,130.0
CHE,MEX,120.0
CHE,MLT,130.0
CHE,MNE,150.0
CHE,MYS,198.0
CHE,NLD,234.0
CHE,NOR,154.0
CHE,NZL,96.0
CHE,PAN,98.0
CHE,PER,150.0
CHE,PHL,160.0
CHE,POL,162.0
CHE,PRT,164.0
CHE,QAT,164.0
CHE,QAZ,96.0
CHE,QCI,198.0
CHE,QMR,130.0
CHE,QRT,94.0
CHE,ROU,152.0
CHE,RUS,88.0
CHE,SAU,132.0
CHE,SGP,192.0
CHE,SRB,118.0
CHE,SVK,102.0
CHE,SVN,158.0
CHE,SWE,164.0
CHE,TAP,192.0
CHE,THA,148.0
CHE,TUR,118.0
CHE,UKR,94.0
CHE,URY,166.0
CHE,USA,190.0
CHE,VNM,160.0
CHL,COL,124.0
CHL,CRI,180.0
CHL,CZE,160.0
CHL,DEU,154.0
CHL,DNK,168.0
CHL,DOM,170.0
CHL,ESP,84.0
CHL,EST,128.0
CHL,FIN,166.0
CHL,FRA,134.0
CHL,GBR,170.0
CHL,GEO,130.0
CHL,GRC,94.0
CHL,HKG,226.0
CHL,HRV,96.0
CHL,HUN,158.0
CHL,IDN,196.0
CHL,IRL,126.0
CHL,ISL,154.0
CHL,ITA,54.0
CHL,JOR,154.0
CHL,JPN,230.0
CHL,KAZ,158.0
CHL,KOR,172.0
CHL,KSV,126.0
CHL,LTU,126.0
CHL,LUX,192.0
CHL,LVA,162.0
CHL,MAC,198.0
CHL,MAR,130.0
CHL,MDA,266.0
CHL,MEX,184.0
CHL,MLT,56.0
CHL,MNE,118.0
CHL,MYS,196.0
CHL,NLD,244.0
CHL,NOR,194.0
CHL,NZL,124.0
CHL,PAN,136.0
CHL,PER,158.0
CHL,PHL,224.0
CHL,POL,128.0
CHL,PRT,228.0
CHL,QAT,96.0
CHL,QAZ,102.0
CHL,QCI,232.0
CHL,QMR,190.0
CHL,QRT,128.0
CHL,ROU,156.0
CHL,RUS,98.0
CHL,SAU,138.0
CHL,SGP,200.0
CHL,SRB,122.0
CHL,SVK,78.0
CHL,SVN,114.0
CHL,SWE,172.0
CHL,TAP,230.0
CHL,THA,154.0
CHL,TUR,184.0
CHL,UKR,160.0
CHL,URY,198.0
CHL,USA,202.0
CHL,VNM,230.0
COL,CRI,144.0
COL,CZE,148.0
COL,DEU,104.0
COL,DNK,100.0
COL,DOM,96.0
COL,ESP,96.0
COL,EST,122.0
COL,FIN,214.0
COL,FRA,176.0
COL,GBR,170.0
COL,GEO,128.0
COL,GRC,102.0
COL,HKG,222.0
COL,HRV,94.0
COL,HUN,116.0
COL,IDN,166.0
COL,IRL,198.0
COL,ISL,162.0
COL,ITA,128.0
COL,JOR,136.0
COL,JPN,224.0
COL,KAZ,86.0
COL,KOR,194.0
COL,KSV,126.0
COL,LTU,52.0
COL,LUX,162.0
COL,LVA,150.0
COL,MAC,226.0
COL,MAR,130.0
COL,MDA,212.0
COL,MEX,106.0
COL,MLT,128.0
COL,MNE,158.0
COL,MYS,162.0
COL,NLD,272.0
COL,NOR,164.0
COL,NZL,144.0
COL,PAN,122.0
COL,PER,150.0
COL,PHL,176.0
COL,POL,160.0
COL,PRT,158.0
COL,QAT,104.0
COL,QAZ,60.0
COL,QCI,200.0
COL,QMR,118.0
COL,QRT,86.0
COL,ROU,190.0
COL,RUS,84.0
COL,SAU,136.0
COL,SGP,196.0
COL,SRB,114.0
COL,SVK,72.0
COL,SVN,144.0
COL,SWE,160.0
COL,TAP,228.0
COL,THA,162.0
COL,TUR,150.0
COL,UKR,120.0
COL,URY,184.0
COL,USA,224.0
COL,VNM,210.0
CRI,CZE,144.0
CRI,DEU,162.0
CRI,DNK,188.0
CRI,DOM,160.0
CRI,ESP,146.0
CRI,EST,144.0
CRI,FIN,264.0
CRI,FRA,130.0
CRI,GBR,188.0
CRI,GEO,182.0
CRI,GRC,130.0
CRI,HKG,182.0
CRI,HRV,148.0
CRI,HUN,172.0
CRI,IDN,160.0
CRI,IRL,180.0
CRI,ISL,178.0
CRI,ITA,182.0
CRI,JOR,188.0
CRI,JPN,246.0
CRI,KAZ,152.0
CRI,KOR,186.0
CRI,KSV,150.0
CRI,LTU,152.0
CRI,LUX,192.0
CRI,LVA,188.0
CRI,MAC,222.0
CRI,MAR,164.0
CRI,MDA,164.0
CRI,MEX,182.0
CRI,MLT,154.0
CRI,MNE,188.0
CRI,MYS,256.0
CRI,NLD,232.0
CRI,NOR,188.0
CRI,NZL,128.0
CRI,PAN,126.0
CRI,PER,184.0
CRI,PHL,188.0
CRI,POL,156.0
CRI,PRT,118.0
CRI,QAT,188.0
CRI,QAZ,154.0
CRI,QCI,188.0
CRI,QMR,158.0
CRI,QRT,152.0
CRI,ROU,142.0
CRI,RUS,112.0
CRI,SAU,162.0
CRI,SGP,208.0
CRI,SRB,148.0
CRI,SVK,152.0
CRI,SVN,150.0
CRI,SWE,156.0
CRI,TAP,188.0
CRI,THA,168.0
CRI,TUR,146.0
CRI,UKR,116.0
CRI,URY,168.0
CRI,USA,220.0
CRI,VNM,172.0
CZE,DEU,178.0
CZE,DNK,186.0
CZE,DOM,186.0
CZE,ESP,166.0
CZE,EST,120.0
CZE,FIN,196.0
CZE,FRA,198.0
CZE,GBR,166.0
CZE,GEO,160.0
CZE,GRC,172.0
CZE,HKG,178.0
CZE,HRV,84.0
CZE,HUN,146.0
CZE,IDN,160.0
CZE,IRL,130.0
CZE,ISL,188.0
CZE,ITA,166.0
CZE,JOR,226.0
CZE,JPN,218.0
CZE,KAZ,146.0
CZE,KOR,186.0
CZE,KSV,188.0
CZE,LTU,154.0
CZE,LUX,158.0
CZE,LVA,132.0
CZE,MAC,222.0
CZE,MAR,170.0
CZE,MDA,260.0
CZE,MEX,148.0
CZE,MLT,134.0
CZE,MNE,168.0
CZE,MYS,184.0
CZE,NLD,196.0
CZE,NOR,184.0
CZE,NZL,158.0
CZE,PAN,160.0
CZE,PER,124.0
CZE,PHL,218.0
CZE,POL,162.0
CZE,PRT,216.0
CZE,QAT,152.0
CZE,QAZ,118.0
CZE,QCI,136.0
CZE,QMR,156.0
CZE,QRT,82.0
CZE,ROU,180.0
CZE,RUS,148.0
CZE,SAU,202.0
CZE,SGP,214.0
CZE,SRB,156.0
CZE,SVK,134.0
CZE,SVN,96.0
CZE,SWE,50.0
CZE,TAP,152.0
CZE,THA,192.0
CZE,TUR,152.0
CZE,UKR,112.0
CZE,URY,188.0
CZE,USA,188.0
CZE,VNM,202.0
DEU,DNK,90.0
DEU,DOM,122.0
DEU,ESP,90.0
DEU,EST,134.0
DEU,FIN,200.0
DEU,FRA,152.0
DEU,GBR,164.0
DEU,GEO,164.0
DEU,GRC,130.0
DEU,HKG,236.0
DEU,HRV,130.0
DEU,HUN,134.0
DEU,IDN,168.0
DEU,IRL,186.0
DEU,ISL,156.0
DEU,ITA,160.0
DEU,JOR,152.0
