Country,Type,Rank,Feature,Importance
ISL,BEINGBULLIED,5,ST207Q05HA,0.034087755
ISL,BEINGBULLIED,6,ST206Q01HA,0.030683465
ISL,BEINGBULLIED,7,ST004D01T,0.029536514
ISL,BEINGBULLIED,8,ST207Q04HA,0.028061455
ISL,BEINGBULLIED,9,GFOFAIL,0.027020382
ISL,BEINGBULLIED,10,PERCOOP,0.025408957
ITA,BEINGBULLIED,1,BELONG,0.14401147
ITA,BEINGBULLIED,2,ST207Q02HA,0.05786056
ITA,BEINGBULLIED,3,EMOSUPS,0.047421414
ITA,BEINGBULLIED,4,PV1READ,0.03572758
ITA,BEINGBULLIED,5,ST207Q03HA,0.034858868
ITA,BEINGBULLIED,6,ST004D01T,0.033862036
ITA,BEINGBULLIED,7,PERCOMP,0.031597797
ITA,BEINGBULLIED,8,ST207Q04HA,0.0296302
ITA,BEINGBULLIED,9,ST207Q01HA,0.028693492
ITA,BEINGBULLIED,10,ST206Q01HA,0.028067762
JOR,BEINGBULLIED,1,ST004D01T,0.09577435
JOR,BEINGBULLIED,2,BELONG,0.08150188
JOR,BEINGBULLIED,3,ST207Q03HA,0.05809723
JOR,BEINGBULLIED,4,PV1READ,0.045722574
JOR,BEINGBULLIED,5,EMOSUPS,0.038966462
JOR,BEINGBULLIED,6,ST207Q02HA,0.030359577
JOR,BEINGBULLIED,7,GFOFAIL,0.028114857
JOR,BEINGBULLIED,8,SCREADDIFF,0.026854314
JOR,BEINGBULLIED,9,ATTLNACT,0.026661005
JOR,BEINGBULLIED,10,ST207Q04HA,0.024856636
JPN,BEINGBULLIED,1,BELONG,0.07923447
JPN,BEINGBULLIED,2,ST004D01T,0.04203844
JPN,BEINGBULLIED,3,DISCLIMA,0.034302883
JPN,BEINGBULLIED,4,GFOFAIL,0.032035597
JPN,BEINGBULLIED,5,EMOSUPS,0.029719245
JPN,BEINGBULLIED,6,PERCOMP,0.027699802
JPN,BEINGBULLIED,7,SCREADCOMP,0.026292972
JPN,BEINGBULLIED,8,ST207Q03HA,0.026231214
JPN,BEINGBULLIED,9,JOYREAD,0.025818488
JPN,BEINGBULLIED,10,PV1MATH,0.02577245
KAZ,BEINGBULLIED,1,ST004D01T,0.07385723
KAZ,BEINGBULLIED,2,BELONG,0.0729524
KAZ,BEINGBULLIED,3,EMOSUPS,0.051552355
KAZ,BEINGBULLIED,4,PV1READ,0.05100636
KAZ,BEINGBULLIED,5,ST207Q04HA,0.04779899
KAZ,BEINGBULLIED,6,ST207Q03HA,0.043338764
KAZ,BEINGBULLIED,7,DISCLIMA,0.03832778
KAZ,BEINGBULLIED,8,PERCOOP,0.031303313
KAZ,BEINGBULLIED,9,ST207Q01HA,0.030616418
KAZ,BEINGBULLIED,10,ST207Q02HA,0.02925597
KSV,BEINGBULLIED,1,ST004D01T,0.090566754
KSV,BEINGBULLIED,2,BELONG,0.050954513
KSV,BEINGBULLIED,3,PV1READ,0.04119021
KSV,BEINGBULLIED,4,ST207Q03HA,0.039006956
KSV,BEINGBULLIED,5,EMOSUPS,0.034633975
