Country,Type,Prevalence
NZL,BEINGBULLIED,0.39796270983213433
NZL,BULLY_VERBAL,0.1913170257573303
NZL,BULLY_THREAT,0.07937793617365949
NZL,BULLY_PHYSICAL,0.09330957395107727
NZL,BULLY_RELATIONAL,0.10756520330471407
PAN,BEINGBULLIED,0.18512840203274986
PAN,BULLY_VERBAL,0.0594896331738437
PAN,BULLY_THREAT,0.03939393939393939
PAN,BULLY_PHYSICAL,0.05326953748006379
PAN,BULLY_RELATIONAL,0.053588516746411484
PER,BEINGBULLIED,-0.09521800092549748
PER,BULLY_VERBAL,0.03943476832073611
PER,BULLY_THREAT,0.021360499507065395
PER,BULLY_PHYSICAL,0.04189944134078212
PER,BULLY_RELATIONAL,0.04354255668747946
PHL,BEINGBULLIED,1.2724548901545973
PHL,BULLY_VERBAL,0.4316327941379787
PHL,BULLY_THREAT,0.2990460389879718
PHL,BULLY_PHYSICAL,0.3584957832158164
PHL,BULLY_RELATIONAL,0.28121111571961843
POL,BEINGBULLIED,0.06868374825731925
POL,BULLY_VERBAL,0.12711111111111112
POL,BULLY_THREAT,0.06737777777777777
POL,BULLY_PHYSICAL,0.10666666666666667
POL,BULLY_RELATIONAL,0.14097777777777779
PRT,BEINGBULLIED,-0.2489104928131417
PRT,BULLY_VERBAL,0.07164531355360755
PRT,BULLY_THREAT,0.03590694538098449
PRT,BULLY_PHYSICAL,0.04888739042481457
PRT,BULLY_RELATIONAL,0.06001348617666891
QAT,BEINGBULLIED,0.2830111258395193
QAT,BULLY_VERBAL,0.16018223893549322
QAT,BULLY_THREAT,0.1020393404686144
QAT,BULLY_PHYSICAL,0.1570726063060457
QAT,BULLY_RELATIONAL,0.14398322244720857
QAZ,BEINGBULLIED,0.23312441724941724
QAZ,BULLY_VERBAL,0.10912553097993262
QAZ,BULLY_THREAT,0.10707484986084664
QAZ,BULLY_PHYSICAL,0.14515892778672917
QAZ,BULLY_RELATIONAL,0.12069723158048923
QCI,BEINGBULLIED,-0.233417245146651
QCI,BULLY_VERBAL,0.09089401227400895
QCI,BULLY_THREAT,0.028528777575053905
QCI,BULLY_PHYSICAL,0.09694808425941284
QCI,BULLY_RELATIONAL,0.04760325095372367
