Country,Type,AUC,Rank,Feature,Importance
BIH,BULLY_THREAT,0.9611063615513251,10,ST207Q04HA,0.0267322
BIH,BULLY_PHYSICAL,0.9587526158739766,1,ST207Q02HA,0.0673216
BIH,BULLY_PHYSICAL,0.9587526158739766,2,EMOSUPS,0.065105304
BIH,BULLY_PHYSICAL,0.9587526158739766,3,ST207Q03HA,0.049082022
BIH,BULLY_PHYSICAL,0.9587526158739766,4,BELONG,0.0478192
BIH,BULLY_PHYSICAL,0.9587526158739766,5,ST207Q01HA,0.047408577
BIH,BULLY_PHYSICAL,0.9587526158739766,6,ST004D01T,0.03718289
BIH,BULLY_PHYSICAL,0.9587526158739766,7,ST207Q04HA,0.036143366
BIH,BULLY_PHYSICAL,0.9587526158739766,8,PV1READ,0.03296054
BIH,BULLY_PHYSICAL,0.9587526158739766,9,ST207Q05HA,0.031905066
BIH,BULLY_PHYSICAL,0.9587526158739766,10,PERCOOP,0.029406583
BIH,BULLY_RELATIONAL,0.9438144657544264,1,BELONG,0.06663142
BIH,BULLY_RELATIONAL,0.9438144657544264,2,EMOSUPS,0.03912001
BIH,BULLY_RELATIONAL,0.9438144657544264,3,ST207Q05HA,0.035137493
BIH,BULLY_RELATIONAL,0.9438144657544264,4,ST207Q02HA,0.0327529
BIH,BULLY_RELATIONAL,0.9438144657544264,5,ST207Q04HA,0.032131143
BIH,BULLY_RELATIONAL,0.9438144657544264,6,ST207Q01HA,0.031523768
BIH,BULLY_RELATIONAL,0.9438144657544264,7,SCREADDIFF,0.03001857
BIH,BULLY_RELATIONAL,0.9438144657544264,8,PERCOOP,0.02982223
BIH,BULLY_RELATIONAL,0.9438144657544264,9,ST206Q01HA,0.027452577
BIH,BULLY_RELATIONAL,0.9438144657544264,10,DISCLIMA,0.027075948
BLR,BULLY_VERBAL,0.9636615287826361,1,BELONG,0.06931705
BLR,BULLY_VERBAL,0.9636615287826361,2,PERCOMP,0.04735622
BLR,BULLY_VERBAL,0.9636615287826361,3,EMOSUPS,0.03510619
BLR,BULLY_VERBAL,0.9636615287826361,4,DISCLIMA,0.032755937
BLR,BULLY_VERBAL,0.9636615287826361,5,ST207Q01HA,0.030176487
BLR,BULLY_VERBAL,0.9636615287826361,6,ST206Q01HA,0.029967312
BLR,BULLY_VERBAL,0.9636615287826361,7,SWBP,0.027599059
BLR,BULLY_VERBAL,0.9636615287826361,8,ST207Q02HA,0.02696083
BLR,BULLY_VERBAL,0.9636615287826361,9,PERCOOP,0.026069153
BLR,BULLY_VERBAL,0.9636615287826361,10,GFOFAIL,0.025489561
BLR,BULLY_THREAT,0.9872165597980855,1,EMOSUPS,0.077321716
BLR,BULLY_THREAT,0.9872165597980855,2,BELONG,0.04405504
BLR,BULLY_THREAT,0.9872165597980855,3,PERCOMP,0.04251416
BLR,BULLY_THREAT,0.9872165597980855,4,ST004D01T,0.03790254
BLR,BULLY_THREAT,0.9872165597980855,5,PV1READ,0.0349602
BLR,BULLY_THREAT,0.9872165597980855,6,ST207Q05HA,0.029372068
BLR,BULLY_THREAT,0.9872165597980855,7,DISCLIMA,0.028564358
BLR,BULLY_THREAT,0.9872165597980855,8,PV1SCIE,0.027831012
BLR,BULLY_THREAT,0.9872165597980855,9,ST207Q03HA,0.026143303
BLR,BULLY_THREAT,0.9872165597980855,10,SCREADDIFF,0.0249662
BLR,BULLY_PHYSICAL,0.9784682105107405,1,EMOSUPS,0.06324937
BLR,BULLY_PHYSICAL,0.9784682105107405,2,PV1READ,0.05811273
BLR,BULLY_PHYSICAL,0.9784682105107405,3,BELONG,0.0415425
